poly,proportion
4a7,0.08163265306122448
4a9,0.08163265306122448
6a11,0.061224489795918366
7a10,0.061224489795918366
6a7,0.061224489795918366
7a8,0.061224489795918366
3a5,0.061224489795918366
3a8,0.061224489795918366
7a11,0.04081632653061224
5a7,0.04081632653061224
5a8,0.04081632653061224
5a9,0.04081632653061224
5a11,0.04081632653061224
7a12,0.04081632653061224
9a10,0.04081632653061224
2a7,0.04081632653061224
4a5,0.04081632653061224
8a11,0.02040816326530612
7a9,0.02040816326530612
5a6,0.02040816326530612
3a7,0.02040816326530612
3a4,0.02040816326530612
