poly,proportion
11a12,0.0759493670886076
6a7,0.06329113924050633
5a6,0.06329113924050633
5a7,0.06329113924050633
3a4,0.06329113924050633
7a8,0.05063291139240506
9a10,0.05063291139240506
5a8,0.05063291139240506
8a9,0.0379746835443038
9a11,0.0379746835443038
10a11,0.0379746835443038
3a8,0.0379746835443038
4a7,0.0379746835443038
2a5,0.0379746835443038
3a5,0.0379746835443038
4a5,0.0379746835443038
5a11,0.02531645569620253
6a11,0.02531645569620253
7a9,0.02531645569620253
7a10,0.02531645569620253
3a7,0.02531645569620253
2a7,0.02531645569620253
7a11,0.012658227848101266
8a11,0.012658227848101266
4a9,0.012658227848101266
5a9,0.012658227848101266
2a3,0.012658227848101266
