poly,proportion
5a11,0.06060606060606061
7a8,0.06060606060606061
7a9,0.06060606060606061
8a9,0.06060606060606061
3a4,0.06060606060606061
6a11,0.045454545454545456
7a10,0.045454545454545456
7a11,0.045454545454545456
7a12,0.045454545454545456
8a11,0.045454545454545456
9a10,0.045454545454545456
9a11,0.045454545454545456
10a11,0.030303030303030304
11a12,0.030303030303030304
4a9,0.030303030303030304
5a8,0.030303030303030304
5a9,0.030303030303030304
2a7,0.030303030303030304
4a5,0.030303030303030304
2a5,0.030303030303030304
3a5,0.030303030303030304
2a3,0.030303030303030304
5a7,0.015151515151515152
6a7,0.015151515151515152
3a7,0.015151515151515152
3a8,0.015151515151515152
5a6,0.015151515151515152
