poly,proportion
7a12,0.08695652173913043
11a12,0.08695652173913043
7a11,0.08695652173913043
7a10,0.057971014492753624
5a7,0.057971014492753624
7a9,0.057971014492753624
2a7,0.057971014492753624
3a7,0.043478260869565216
4a7,0.043478260869565216
5a11,0.043478260869565216
6a7,0.043478260869565216
6a11,0.043478260869565216
7a8,0.043478260869565216
8a9,0.043478260869565216
8a11,0.043478260869565216
9a11,0.043478260869565216
9a10,0.028985507246376812
3a8,0.028985507246376812
5a8,0.028985507246376812
10a11,0.014492753623188406
3a5,0.014492753623188406
