poly,proportion
7a8,0.07246376811594203
5a8,0.07246376811594203
5a11,0.07246376811594203
6a7,0.057971014492753624
4a7,0.057971014492753624
5a6,0.057971014492753624
5a7,0.057971014492753624
5a9,0.057971014492753624
6a11,0.043478260869565216
7a9,0.043478260869565216
7a10,0.043478260869565216
7a11,0.043478260869565216
7a12,0.043478260869565216
8a9,0.043478260869565216
8a11,0.043478260869565216
4a5,0.043478260869565216
4a9,0.043478260869565216
3a8,0.028985507246376812
11a12,0.014492753623188406
9a11,0.014492753623188406
3a4,0.014492753623188406
3a5,0.014492753623188406
3a7,0.014492753623188406
