poly,proportion
4a9,0.13157894736842105
4a7,0.10526315789473684
6a11,0.07894736842105263
5a11,0.07894736842105263
3a7,0.05263157894736842
4a5,0.05263157894736842
3a4,0.05263157894736842
3a5,0.05263157894736842
3a8,0.05263157894736842
7a8,0.02631578947368421
7a9,0.02631578947368421
7a10,0.02631578947368421
7a11,0.02631578947368421
7a12,0.02631578947368421
8a9,0.02631578947368421
8a11,0.02631578947368421
5a8,0.02631578947368421
6a7,0.02631578947368421
5a6,0.02631578947368421
5a7,0.02631578947368421
5a9,0.02631578947368421
2a5,0.02631578947368421
