poly,proportion
5a6,0.07246376811594203
4a7,0.057971014492753624
5a7,0.057971014492753624
11a12,0.043478260869565216
8a9,0.043478260869565216
7a8,0.043478260869565216
4a9,0.043478260869565216
5a8,0.043478260869565216
5a9,0.043478260869565216
3a7,0.043478260869565216
3a8,0.043478260869565216
4a5,0.043478260869565216
2a7,0.028985507246376812
7a12,0.028985507246376812
8a11,0.028985507246376812
9a10,0.028985507246376812
9a11,0.028985507246376812
10a11,0.028985507246376812
5a11,0.028985507246376812
6a11,0.028985507246376812
7a9,0.028985507246376812
7a10,0.028985507246376812
7a11,0.028985507246376812
6a7,0.028985507246376812
3a5,0.028985507246376812
3a4,0.028985507246376812
2a5,0.014492753623188406
