poly,proportion
7a12,0.06060606060606061
8a9,0.06060606060606061
8a11,0.06060606060606061
9a10,0.06060606060606061
9a11,0.06060606060606061
10a11,0.06060606060606061
11a12,0.06060606060606061
7a10,0.05555555555555555
7a11,0.05555555555555555
6a11,0.050505050505050504
7a9,0.050505050505050504
5a9,0.04040404040404041
5a11,0.04040404040404041
5a8,0.04040404040404041
5a7,0.03535353535353535
7a8,0.03535353535353535
4a9,0.030303030303030304
5a6,0.030303030303030304
6a7,0.030303030303030304
3a7,0.020202020202020204
3a8,0.020202020202020204
2a7,0.015151515151515152
4a7,0.015151515151515152
4a5,0.010101010101010102
