poly,proportion
2a5,0.07971014492753623
3a5,0.057971014492753624
2a3,0.057971014492753624
5a6,0.050724637681159424
5a7,0.050724637681159424
6a7,0.050724637681159424
7a10,0.050724637681159424
3a4,0.050724637681159424
4a5,0.050724637681159424
2a7,0.043478260869565216
7a8,0.043478260869565216
7a11,0.043478260869565216
5a11,0.036231884057971016
6a11,0.036231884057971016
3a7,0.028985507246376812
3a8,0.028985507246376812
4a7,0.028985507246376812
5a8,0.028985507246376812
5a9,0.028985507246376812
8a11,0.028985507246376812
4a9,0.021739130434782608
10a11,0.021739130434782608
9a10,0.014492753623188406
9a11,0.014492753623188406
7a9,0.014492753623188406
7a12,0.014492753623188406
8a9,0.014492753623188406
11a12,0.007246376811594203
