poly,proportion
4a5,0.08064516129032258
5a6,0.06451612903225806
5a11,0.04838709677419355
2a7,0.04838709677419355
3a7,0.04838709677419355
3a8,0.04838709677419355
4a7,0.04838709677419355
4a9,0.04838709677419355
5a7,0.04838709677419355
5a8,0.04838709677419355
5a9,0.04838709677419355
3a5,0.04838709677419355
2a5,0.04838709677419355
8a11,0.03225806451612903
9a10,0.03225806451612903
9a11,0.03225806451612903
10a11,0.03225806451612903
11a12,0.03225806451612903
6a7,0.03225806451612903
2a3,0.03225806451612903
3a4,0.03225806451612903
6a11,0.016129032258064516
7a10,0.016129032258064516
7a11,0.016129032258064516
7a12,0.016129032258064516
